"年","月","個人貸款總人數","個人貸款總金額[仟元]","個人貸款平均金額[仟元]","個人貸款金額第25百分位數[仟元]","個人貸款金額第50百分位數[仟元]","個人貸款金額第75百分位數[仟元]"
2012,01,4742543,10431407540,2199.54,195,660,2249
2012,02,4728534,10426760702,2205.07,195,661,2250
2012,03,4716591,10449619069,2215.50,196,664,2255
2012,04,4714865,10492731783,2225.46,199,665,2261
2012,05,4712690,10554011059,2239.49,203,669,2271
2012,06,4703118,10612688184,2256.52,204,675,2285
2012,07,4687842,10666664825,2275.39,207,681,2300
2012,08,4679800,10686581979,2283.56,208,684,2308
2012,09,4673062,10721490749,2294.32,208,687,2316
2012,10,4665381,10757184076,2305.75,209,689,2325
2012,11,4697917,10807564146,2300.50,205,675,2311
2012,12,4725958,10890880112,2304.48,204,666,2303
2013,01,4712188,10900252120,2313.20,205,668,2310
2013,02,4692266,10889092166,2320.65,205,669,2313
2013,03,4679272,10927332840,2335.26,206,670,2323
2013,04,4674342,10998711218,2353.00,209,673,2335
2013,05,4671210,11087882711,2373.66,213,677,2350
2013,06,4661618,11173257139,2396.86,214,683,2369
2013,07,4646316,11250521573,2421.39,217,690,2391
2013,08,4637781,11307060047,2438.03,217,693,2401
2013,09,4633310,11382120740,2456.59,218,697,2415
2013,10,4631785,11458709995,2473.93,218,699,2425
2013,11,4662068,11549787046,2477.40,216,689,2420
2013,12,4691366,11681691680,2490.04,215,682,2421
2014,01,4682616,11723603289,2503.64,216,685,2431
2014,02,4663653,11729842290,2515.16,215,686,2438
2014,03,4655675,11795144307,2533.50,216,688,2450
2014,04,4654282,11869858131,2550.31,219,691,2463
2014,05,4651449,11963673485,2572.03,221,696,2480
2014,06,4638636,12054758532,2598.77,223,703,2500
2014,07,4618567,12115450849,2623.21,225,713,2522
2014,08,4609357,12208532175,2648.64,226,719,2539
2014,09,4604248,12268379158,2664.58,226,722,2556
2014,10,4602510,12319005676,2676.58,227,724,2570
2014,11,4633539,12356037878,2666.65,224,714,2562
2014,12,4662618,12467879674,2674.01,223,706,2563
2015,01,4654955,12492638555,2683.73,224,710,2579
2015,02,4642275,12504735310,2693.67,224,711,2587
2015,03,4632402,12536890912,2706.35,224,714,2599
2015,04,4629644,12580510141,2717.38,226,715,2610
2015,05,4629067,12639077389,2730.37,229,718,2624
2015,06,4622101,12700880700,2747.86,230,724,2646
2015,07,4610622,12737829993,2762.71,232,731,2670
2015,08,4606803,12760188691,2769.86,232,734,2682
2015,09,4605717,12785977652,2776.11,232,735,2692
2015,10,4610654,12818502359,2780.19,232,734,2700
2015,11,4643525,12874948555,2772.67,229,723,2690
2015,12,4678222,13037289742,2786.80,228,719,2701
2016,01,4669134,13013352569,2787.10,229,721,2710
2016,02,4653161,12980959870,2789.71,228,721,2714
2016,03,4644040,12986263833,2796.33,229,723,2724
2016,04,4643392,13013115186,2802.50,231,725,2737
2016,05,4641032,13072078075,2816.63,234,729,2756
2016,06,4630183,13131918107,2836.16,236,737,2783
2016,07,4612931,13170446798,2855.11,239,747,2808
2016,08,4603284,13202231080,2868.00,240,752,2828
2016,09,4597140,13249395213,2882.10,241,756,2847
2016,10,4595059,13292313242,2892.74,241,759,2862
2016,11,4629348,13361453322,2886.25,239,748,2854
2016,12,4654210,13467500155,2893.62,238,744,2860
2017,01,4645574,13465719657,2898.61,239,748,2875
2017,02,4629330,13458592550,2907.24,239,750,2886
2017,03,4623671,13507741237,2921.43,239,753,2902
2017,04,4623982,13562545251,2933.09,241,756,2916
2017,05,4623674,13628634131,2947.58,243,759,2934
2017,06,4616240,13724973556,2973.19,244,768,2963
2017,07,4600483,13753166807,2989.50,246,777,2988
2017,08,4595397,13796727742,3002.29,247,782,3000
2017,09,4593243,13846505190,3014.54,248,787,3013
2017,10,4592052,13889028926,3024.58,248,790,3031
2017,11,4625706,13972429502,3020.60,245,781,3027
2017,12,4652945,14075489725,3025.07,244,776,3031
2018,01,4650868,14112589805,3034.40,245,781,3053
2018,02,4640945,14112204855,3040.80,245,783,3065
2018,03,4637100,14159231965,3053.47,245,786,3087
2018,04,4637207,14210464487,3064.44,247,789,3102
2018,05,4639947,14291810341,3080.17,250,794,3129
2018,06,4635664,14368123297,3099.47,250,800,3159
2018,07,4622552,14422897374,3120.12,253,811,3194
2018,08,4620452,14472124520,3132.19,254,817,3216
2018,09,4619975,14530810008,3145.21,255,823,3238
2018,10,4622438,14596792920,3157.81,255,827,3260
2018,11,4660496,14671421339,3148.04,252,815,3250
2018,12,4688763,14762977072,3148.59,250,808,3249
2019,01,4683259,14779119617,3155.73,251,814,3268
2019,02,4669975,14759331132,3160.47,251,817,3279
2019,03,4665495,14798610851,3171.93,252,822,3300
2019,04,4667125,14851205627,3182.09,254,826,3318
2019,05,4670443,14933110233,3197.36,257,832,3345
2019,06,4667843,15003565977,3214.24,259,841,3373
2019,07,4658439,15081188852,3237.39,263,854,3414
2019,08,4658672,15119122269,3245.37,264,859,3430
2019,09,4660706,15177518025,3256.48,264,863,3449
2019,10,4664991,15262332956,3271.67,266,869,3474
2019,11,4701177,15362181885,3267.73,263,860,3468
2019,12,4740048,15485349913,3266.92,261,850,3464
2020,01,4733268,15482324785,3270.96,261,853,3476
2020,02,4728886,15525873997,3283.20,262,858,3495
2020,03,4735587,15623873002,3299.25,263,866,3513
2020,04,4744060,15718182842,3313.23,265,871,3536
2020,05,5011058,15869479862,3166.89,226,766,3326
2020,06,5186377,16006143850,3086.19,200,708,3198
2020,07,5187289,16107969442,3105.28,202,716,3229
2020,08,5189465,16207752601,3123.20,203,723,3260
2020,09,5194191,16327691969,3143.45,205,730,3293
2020,10,5193303,16426815517,3163.08,206,736,3320
2020,11,5223541,16570806778,3172.33,205,733,3329
2020,12,5258361,16755588970,3186.47,205,731,3344
2021,01,5256789,16837409007,3202.98,206,738,3374
2021,02,5248657,16861380901,3212.51,206,741,3391
2021,03,5245722,16949642461,3231.14,208,748,3423
2021,04,5248484,17053948570,3249.31,212,754,3451
2021,05,5250556,17191380150,3274.20,216,764,3491
2021,06,5417629,17357056798,3203.81,193,716,3379
2021,07,5448833,17450350611,3202.58,189,713,3378

